sentence	sentence_id	locale	reason
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
We zitten terug op het zomertijd, maar ik moet de klok nog synchroniseren.	e4473c93a40de770511790f81bf6316d6dfbb693a7abefe8b7ef57d7d34cc09b	nl	grammar-or-spelling
De stroom was in heel de stad was voor een uur uitgevallen.	c844e21852e95fc4522fd37ffb7b175852b0b87fe024031480fb1dba47108c00	nl	grammar-or-spelling
Wie het eerst komt, die het eerst maalt.	cdac95abd9206c5cce892b6d292db59880f2b9eeab938f9f2e9713a46c6d0878	nl	grammar-or-spelling
Mijn collega’s hebben lang gebabbeld aan het koffiemachine.	aaf6ab18355d381e878283338a07d7f11fc3610f84cd136ac339924fe37ffc28	nl	grammar-or-spelling
De ventilator start al de relatieve luchtvochtigheid boven de vijftig procent stijgt.	a25e7a680520c674d2ac2d17e277104d8a664b9d50790c47bad0a05988a16e0c	nl	grammar-or-spelling
En helpende hand is altijd welkom.	956e61d7dff51f796f33ff9284287fde1816f0d3cb6f51ddd9c038ef79aa85c5	nl	grammar-or-spelling
Niemand had de hersenchirurg al ooit gestresseerd gezien.	891870d5d01d70f8ed056057e3a5b41c7053464e08f8397464a45a1ddafb0a62	nl	grammar-or-spelling
In India hebben is Bollywood het equivalent van Hollywood.	b53a2333fc4bf1f4ea32cdca0a1965f88b45185ce99df2ee5d12b58ebc114b55	nl	grammar-or-spelling
Die wegenwerken zijn aangeduid met kegels.	a247efa11d957c9db254f3070dde2c8e184e27c0f5ab1e21cf263b78a2599f12	nl	grammar-or-spelling
De stroom was in heel de stad was voor een uur uitgevallen.	c844e21852e95fc4522fd37ffb7b175852b0b87fe024031480fb1dba47108c00	nl	grammar-or-spelling
Ik woon in duizend Brussel.	d8e9e58a9f2b8c79e857ed5436e6a534847aefbde9652603c1df7a1ba0b22bce	nl	grammar-or-spelling
Dat kader in een lopend onderzoek.	e67353cbfa7e098767c4cfb879a5ea64666f41dcb8048ba8b2192de36b47543e	nl	grammar-or-spelling
Er was een vermoeden was een zware misdaad.	e93ff873c42a004bda5925f1bf4dc05f45176b8988f9be9b988f4784743cb55e	nl	grammar-or-spelling
Haar nieuw montuur was duur.	bfe33c9aab1bd5a9fdec4f234cf917b9d357434f56e66df044f018106c9f0961	nl	grammar-or-spelling
Je moet je antibioticakuur helemaal afmaken want anders bestaat er het gevaar dat je resistente bacteriën ontwikkeld.	d0d4aff7abb3d730b585d1098c2b5a021ea9689796915c794c4951efcb480c43	nl	grammar-or-spelling
Pak maar een plastieken zak.	14441b6983bc81ee8db157ca121ffce043b61d8f288032ce3c572ea93a16919b	nl	Dit is heel Vlaams, een Nederlander zou zoiets nooit zeggen. 
Nijmegen bestond al ten tijden van de Romeinen.	27cab2c9038f015b3691fe56999f5d41b371eed79cfffc2cb6dade8930b8aea2	nl	grammar-or-spelling
De vereniging zoekt naar een nieuw kantoor om zicht te vestigen.	024cda9338a1d8d03f6651e467a92f374e3ca7a353d5814cc7e5c7f61f411638	nl	grammar-or-spelling
Ik ga er nog een nietje in slaan met een nietjesmachine.	23d9e0a0bfa89552a1e3d62e8a9cc4036ce84e6b4f248f482fcfd4d7cb79ebad	nl	grammar-or-spelling
